eventName,errorCode,action,status
ListOpenIDConnectProviders,success,read,success
ListOpenIDConnectProviders,*,unknown,failure
ListPolicies,success,read,success
ListPolicies,*,unknown,failure
ListPolicyVersions,success,read,success
ListPolicyVersions,*,unknown,failure
ListRolePolicies,success,read,success
ListRolePolicies,*,unknown,failure
ListRoles,success,read,success
ListRoles,*,unknown,failure
ListSAMLProviders,success,read,success
ListSAMLProviders,*,unknown,failure
ListServerCertificates,success,read,success
ListServerCertificates,*,unknown,failure
ListSigningCertificates,success,read,success
ListSigningCertificates,*,unknown,failure
ListSSHPublicKeys,success,read,success
ListSSHPublicKeys,*,unknown,failure
ListUserPolicies,success,read,success
ListUserPolicies,*,unknown,failure
ListUsers,success,read,success
ListUsers,*,unknown,failure
ListVirtualMFADevices,success,read,success
ListVirtualMFADevices,*,unknown,failure
PutGroupPolicy,success,modified,success
PutGroupPolicy,*,unknown,failure
PutRolePolicy,success,modified,success
PutRolePolicy,*,unknown,failure
SetDefaultPolicyVersion,success,modified,success
SetDefaultPolicyVersion,*,unknown,failure
SimulateCustomPolicy,success,modified,success
SimulateCustomPolicy,*,unknown,failure
SimulatePrincipalPolicy,success,modified,success
SimulatePrincipalPolicy,*,unknown,failure
UpdateAccessKey,success,modified,success
UpdateAccessKey,*,unknown,failure
UpdateAccountPasswordPolicy,success,modified,success
UpdateAccountPasswordPolicy,*,unknown,failure
UpdateAssumeRolePolicy,success,modified,success
UpdateAssumeRolePolicy,*,unknown,failure
UpdateGroup,success,modified,success
UpdateGroup,*,unknown,failure
UpdateLoginProfile,success,modified,success
UpdateLoginProfile,*,unknown,failure
UpdateOpenIDConnectProviderThumbprint,success,modified,success
UpdateOpenIDConnectProviderThumbprint,*,unknown,failure
UpdateSAMLProvider,success,modified,success
UpdateSAMLProvider,*,unknown,failure
UpdateServerCertificate,success,modified,success
UpdateServerCertificate,*,unknown,failure
UpdateSigningCertificate,success,modified,success
UpdateSigningCertificate,*,unknown,failure
UpdateSSHPublicKey,success,modified,success
UpdateSSHPublicKey,*,unknown,failure
UpdateUser,success,modified,success
UpdateUser,*,unknown,failure
UploadServerCertificate,success,modified,success
UploadServerCertificate,*,unknown,failure
UploadSigningCertificate,success,modified,success
UploadSigningCertificate,*,unknown,failure
UploadSSHPublicKey,success,modified,success
UploadSSHPublicKey,*,unknown,failure
CreateTags,success,created,success
CreateTags,*,unknown,failure
CreateStack,success,created,success
CreateStack,*,unknown,failure
CreatePlatformEndpoint,success,created,success
CreatePlatformEndpoint,*,unknown,failure
