protocol_code,protocol,protocol_full_name
70,VISA,VISA Protocol
71,IPCV,Internet Packet Core Utility
72,CPNX,Computer Protocol Network Executive
73,CPHB,Computer Protocol Heart Beat
74,WSN,Wang Span Network
75,PVP,Packet Video Protocol
76,BR-SAT-MON,Backroom SATNET Monitoring
77,SUN-ND,SUN ND PROTOCOL-Temporary
78,WB-MON,WIDEBAND Monitoring
79,WB-EXPAK,WIDEBAND EXPAK
80,ISO-IP,ISO Internet Protocol
81,VMTP,VMTP
82,SECURE-VMTP,SECURE-VMTP
83,VINES,VINES
84,IPTM,Internet Protocol Traffic Manager
85,NSFNET-IGP,NSFNET-IGP
86,DGP,Dissimilar Gateway Protocol
87,TCF,TCF
88,EIGRP,EIGRP
89,OSPFIGP,OSPFIGP
90,Sprite-RPC,Sprite RPC Protocol
91,LARP,Locus Address Resolution Protocol
92,MTP,Multicast Transport Protocol
93,AX.25,AX.25 Frames
94,IPIP,IP-within-IP Encapsulation Protocol
95,MICP (deprecated),Mobile Internetworking Control Pro.
96,SCC-SP,Semaphore Communications Sec. Pro.
97,ETHERIP,Ethernet-within-IP Encapsulation
98,ENCAP,Encapsulation Header
99,None,any private encryption scheme
100,GMTP,GMTP
101,IFMP,Ipsilon Flow Management Protocol
102,PNNI,PNNI over IP
103,PIM,Protocol Independent Multicast
104,ARIS,ARIS
105,SCPS,SCPS
106,QNX,QNX
107,A/N,Active Networks
108,IPComp,IP Payload Compression Protocol
109,SNP,Sitara Networks Protocol
110,Compaq-Peer,Compaq Peer Protocol
111,IPX-in-IP,IPX in IP
112,VRRP,Virtual Router Redundancy Protocol
113,PGM,PGM Reliable Transport Protocol
114,None,any 0-hop protocol
115,L2TP,Layer Two Tunneling Protocol
116,DDX,D-II Data Exchange (DDX)
117,IATP,Interactive Agent Transfer Protocol
118,STP,Schedule Transfer Protocol
119,SRP,SpectraLink Radio Protocol
120,UTI,UTI
121,SMP,Simple Message Protocol
122,SM (deprecated),Simple Multicast Protocol
123,PTP,Performance Transparency Protocol
124,ISIS over IPv4,
125,FIRE,
126,CRTP,Combat Radio Transport Protocol
127,CRUDP,Combat Radio User Datagram
128,SSCOPMCE,
129,IPLT,
130,SPS,Secure Packet Shield
131,PIPE,Private IP Encapsulation within IP
132,SCTP,Stream Control Transmission Protocol
133,FC,Fibre Channel
134,RSVP-E2E-IGNORE,
135,Mobility Header,
136,UDPLite,
137,MPLS-in-IP,
138,manet,MANET Protocols
139,HIP,Host Identity Protocol
140,Shim6,Shim6 Protocol
141,WESP,Wrapped Encapsulating Security Payload
142,ROHC,Robust Header Compression
143,Unassigned,Unassigned
144,Unassigned,Unassigned
145,Unassigned,Unassigned
146,Unassigned,Unassigned
147,Unassigned,Unassigned
148,Unassigned,Unassigned
149,Unassigned,Unassigned
150,Unassigned,Unassigned
151,Unassigned,Unassigned
152,Unassigned,Unassigned
153,Unassigned,Unassigned
154,Unassigned,Unassigned
155,Unassigned,Unassigned
156,Unassigned,Unassigned
157,Unassigned,Unassigned
158,Unassigned,Unassigned
159,Unassigned,Unassigned
160,Unassigned,Unassigned
161,Unassigned,Unassigned
162,Unassigned,Unassigned
163,Unassigned,Unassigned
164,Unassigned,Unassigned
165,Unassigned,Unassigned
166,Unassigned,Unassigned
167,Unassigned,Unassigned
168,Unassigned,Unassigned
169,Unassigned,Unassigned
170,Unassigned,Unassigned
171,Unassigned,Unassigned
172,Unassigned,Unassigned
173,Unassigned,Unassigned
174,Unassigned,Unassigned
175,Unassigned,Unassigned
176,Unassigned,Unassigned
177,Unassigned,Unassigned
178,Unassigned,Unassigned
179,Unassigned,Unassigned
180,Unassigned,Unassigned
181,Unassigned,Unassigned
182,Unassigned,Unassigned
183,Unassigned,Unassigned
184,Unassigned,Unassigned
185,Unassigned,Unassigned
186,Unassigned,Unassigned
187,Unassigned,Unassigned
188,Unassigned,Unassigned
189,Unassigned,Unassigned
190,Unassigned,Unassigned
191,Unassigned,Unassigned
192,Unassigned,Unassigned
193,Unassigned,Unassigned
194,Unassigned,Unassigned
195,Unassigned,Unassigned
196,Unassigned,Unassigned
197,Unassigned,Unassigned
198,Unassigned,Unassigned
199,Unassigned,Unassigned
200,Unassigned,Unassigned
201,Unassigned,Unassigned
202,Unassigned,Unassigned
203,Unassigned,Unassigned
204,Unassigned,Unassigned
205,Unassigned,Unassigned
206,Unassigned,Unassigned
207,Unassigned,Unassigned
208,Unassigned,Unassigned
209,Unassigned,Unassigned
210,Unassigned,Unassigned
211,Unassigned,Unassigned
212,Unassigned,Unassigned
213,Unassigned,Unassigned
214,Unassigned,Unassigned
215,Unassigned,Unassigned
216,Unassigned,Unassigned
217,Unassigned,Unassigned
218,Unassigned,Unassigned
219,Unassigned,Unassigned
220,Unassigned,Unassigned
221,Unassigned,Unassigned
222,Unassigned,Unassigned
223,Unassigned,Unassigned
224,Unassigned,Unassigned
225,Unassigned,Unassigned
226,Unassigned,Unassigned
227,Unassigned,Unassigned
228,Unassigned,Unassigned
229,Unassigned,Unassigned
230,Unassigned,Unassigned
231,Unassigned,Unassigned
232,Unassigned,Unassigned
233,Unassigned,Unassigned
234,Unassigned,Unassigned
235,Unassigned,Unassigned
236,Unassigned,Unassigned
237,Unassigned,Unassigned
238,Unassigned,Unassigned
239,Unassigned,Unassigned
240,Unassigned,Unassigned
241,Unassigned,Unassigned
242,Unassigned,Unassigned
243,Unassigned,Unassigned
244,Unassigned,Unassigned
245,Unassigned,Unassigned
246,Unassigned,Unassigned
247,Unassigned,Unassigned
248,Unassigned,Unassigned
249,Unassigned,Unassigned
250,Unassigned,Unassigned
251,Unassigned,Unassigned
252,Unassigned,Unassigned
253,None,Use for experimentation and testing
254,None,Use for experimentation and testing
255,Reserved,Reserved
