name,port,protocol
encrypted-admin,1138,UDP
encrypted_admin,1138,UDP
evm,1139,TCP
evm,1139,UDP
autonoc,1140,TCP
autonoc,1140,UDP
mxomss,1141,TCP
mxomss,1141,UDP
edtools,1142,TCP
edtools,1142,UDP
imyx,1143,TCP
imyx,1143,UDP
fuscript,1144,TCP
fuscript,1144,UDP
x9-icue,1145,TCP
x9-icue,1145,UDP
audit-transfer,1146,TCP
audit-transfer,1146,UDP
capioverlan,1147,TCP
capioverlan,1147,UDP
elfiq-repl,1148,TCP
elfiq-repl,1148,UDP
bvtsonar,1149,TCP
bvtsonar,1149,UDP
blaze,1150,TCP
blaze,1150,UDP
unizensus,1151,TCP
unizensus,1151,UDP
winpoplanmess,1152,TCP
winpoplanmess,1152,UDP
c1222-acse,1153,TCP
c1222-acse,1153,UDP
resacommunity,1154,TCP
resacommunity,1154,UDP
nfa,1155,TCP
nfa,1155,UDP
iascontrol-oms,1156,TCP
iascontrol-oms,1156,UDP
iascontrol,1157,TCP
iascontrol,1157,UDP
dbcontrol-oms,1158,TCP
dbcontrol-oms,1158,UDP
oracle-oms,1159,TCP
oracle-oms,1159,UDP
olsv,1160,TCP
olsv,1160,UDP
health-polling,1161,TCP
health-polling,1161,UDP
health-trap,1162,TCP
health-trap,1162,UDP
sddp,1163,TCP
sddp,1163,UDP
qsm-proxy,1164,TCP
qsm-proxy,1164,UDP
qsm-gui,1165,TCP
qsm-gui,1165,UDP
qsm-remote,1166,TCP
qsm-remote,1166,UDP
cisco-ipsla,1167,TCP
cisco-ipsla,1167,UDP
cisco-ipsla,1167,SCTP
vchat,1168,TCP
vchat,1168,UDP
tripwire,1169,TCP
tripwire,1169,UDP
atc-lm,1170,TCP
atc-lm,1170,UDP
atc-appserver,1171,TCP
atc-appserver,1171,UDP
dnap,1172,TCP
dnap,1172,UDP
d-cinema-rrp,1173,TCP
d-cinema-rrp,1173,UDP
fnet-remote-ui,1174,TCP
fnet-remote-ui,1174,UDP
dossier,1175,TCP
dossier,1175,UDP
indigo-server,1176,TCP
indigo-server,1176,UDP
dkmessenger,1177,TCP
dkmessenger,1177,UDP
sgi-storman,1178,TCP
sgi-storman,1178,UDP
b2n,1179,TCP
b2n,1179,UDP
mc-client,1180,TCP
mc-client,1180,UDP
3comnetman,1181,TCP
3comnetman,1181,UDP
accelenet,1182,TCP
accelenet-data,1182,UDP
llsurfup-http,1183,TCP
llsurfup-http,1183,UDP
llsurfup-https,1184,TCP
llsurfup-https,1184,UDP
catchpole,1185,TCP
catchpole,1185,UDP
mysql-cluster,1186,TCP
mysql-cluster,1186,UDP
alias,1187,TCP
alias,1187,UDP
hp-webadmin,1188,TCP
hp-webadmin,1188,UDP
unet,1189,TCP
unet,1189,UDP
commlinx-avl,1190,TCP
commlinx-avl,1190,UDP
gpfs,1191,TCP
gpfs,1191,UDP
caids-sensor,1192,TCP
caids-sensor,1192,UDP
fiveacross,1193,TCP
fiveacross,1193,UDP
openvpn,1194,TCP
openvpn,1194,UDP
rsf-1,1195,TCP
rsf-1,1195,UDP
netmagic,1196,TCP
netmagic,1196,UDP
carrius-rshell,1197,TCP
carrius-rshell,1197,UDP
cajo-discovery,1198,TCP
cajo-discovery,1198,UDP
dmidi,1199,TCP
dmidi,1199,UDP
scol,1200,TCP
scol,1200,UDP
nucleus-sand,1201,TCP
nucleus-sand,1201,UDP
caiccipc,1202,TCP
caiccipc,1202,UDP
ssslic-mgr,1203,TCP
ssslic-mgr,1203,UDP
ssslog-mgr,1204,TCP
ssslog-mgr,1204,UDP
accord-mgc,1205,TCP
accord-mgc,1205,UDP
anthony-data,1206,TCP
anthony-data,1206,UDP
metasage,1207,TCP
metasage,1207,UDP
seagull-ais,1208,TCP
seagull-ais,1208,UDP
ipcd3,1209,TCP
ipcd3,1209,UDP
eoss,1210,TCP
eoss,1210,UDP
groove-dpp,1211,TCP
groove-dpp,1211,UDP
lupa,1212,TCP
lupa,1212,UDP
mpc-lifenet,1213,TCP
mpc-lifenet,1213,UDP
kazaa,1214,TCP
kazaa,1214,UDP
scanstat-1,1215,TCP
scanstat-1,1215,UDP
etebac5,1216,TCP
etebac5,1216,UDP
hpss-ndapi,1217,TCP
hpss-ndapi,1217,UDP
aeroflight-ads,1218,TCP
aeroflight-ads,1218,UDP
aeroflight-ret,1219,TCP
aeroflight-ret,1219,UDP
qt-serveradmin,1220,TCP
qt-serveradmin,1220,UDP
sweetware-apps,1221,TCP
sweetware-apps,1221,UDP
nerv,1222,TCP
nerv,1222,UDP
tgp,1223,TCP
tgp,1223,UDP
vpnz,1224,TCP
vpnz,1224,UDP
slinkysearch,1225,TCP
slinkysearch,1225,UDP
stgxfws,1226,TCP
stgxfws,1226,UDP
dns2go,1227,TCP
dns2go,1227,UDP
florence,1228,TCP
florence,1228,UDP
zented,1229,TCP
zented,1229,UDP
periscope,1230,TCP
periscope,1230,UDP
menandmice-lpm,1231,TCP
menandmice-lpm,1231,UDP
first-defense,1232,TCP
first-defense,1232,UDP
univ-appserver,1233,TCP
univ-appserver,1233,UDP
search-agent,1234,TCP
search-agent,1234,UDP
mosaicsyssvc1,1235,TCP
mosaicsyssvc1,1235,UDP
bvcontrol,1236,TCP
bvcontrol,1236,UDP
tsdos390,1237,TCP
tsdos390,1237,UDP
hacl-qs,1238,TCP
hacl-qs,1238,UDP
nmsd,1239,TCP
nmsd,1239,UDP
instantia,1240,TCP
instantia,1240,UDP
nessus,1241,TCP
nessus,1241,UDP
nmasoverip,1242,TCP
nmasoverip,1242,UDP
serialgateway,1243,TCP
serialgateway,1243,UDP
isbconference1,1244,TCP
isbconference1,1244,UDP
isbconference2,1245,TCP
isbconference2,1245,UDP
payrouter,1246,TCP
payrouter,1246,UDP
visionpyramid,1247,TCP
visionpyramid,1247,UDP
hermes,1248,TCP
hermes,1248,UDP
mesavistaco,1249,TCP
mesavistaco,1249,UDP
swldy-sias,1250,TCP
swldy-sias,1250,UDP
servergraph,1251,TCP
servergraph,1251,UDP
bspne-pcc,1252,TCP
bspne-pcc,1252,UDP
q55-pcc,1253,TCP
q55-pcc,1253,UDP
de-noc,1254,TCP
de-noc,1254,UDP
de-cache-query,1255,TCP
de-cache-query,1255,UDP
de-server,1256,TCP
de-server,1256,UDP
shockwave2,1257,TCP
shockwave2,1257,UDP
opennl,1258,TCP
opennl,1258,UDP
opennl-voice,1259,TCP
opennl-voice,1259,UDP
ibm-ssd,1260,TCP
ibm-ssd,1260,UDP
mpshrsv,1261,TCP
mpshrsv,1261,UDP
qnts-orb,1262,TCP
qnts-orb,1262,UDP
dka,1263,TCP
dka,1263,UDP
prat,1264,TCP
prat,1264,UDP
dssiapi,1265,TCP
dssiapi,1265,UDP
dellpwrappks,1266,TCP
dellpwrappks,1266,UDP
epc,1267,TCP
epc,1267,UDP
propel-msgsys,1268,TCP
propel-msgsys,1268,UDP
watilapp,1269,TCP
watilapp,1269,UDP
opsmgr,1270,TCP
opsmgr,1270,UDP
excw,1271,TCP
excw,1271,UDP
cspmlockmgr,1272,TCP
cspmlockmgr,1272,UDP
emc-gateway,1273,TCP
emc-gateway,1273,UDP
t1distproc,1274,TCP
t1distproc,1274,UDP
ivcollector,1275,TCP
ivcollector,1275,UDP
,1276,TCP
,1276,UDP
miva-mqs,1277,TCP
miva-mqs,1277,UDP
dellwebadmin-1,1278,TCP
dellwebadmin-1,1278,UDP
dellwebadmin-2,1279,TCP
dellwebadmin-2,1279,UDP
pictrography,1280,TCP
pictrography,1280,UDP
healthd,1281,TCP
healthd,1281,UDP
emperion,1282,TCP
emperion,1282,UDP
productinfo,1283,TCP
productinfo,1283,UDP
iee-qfx,1284,TCP
iee-qfx,1284,UDP
neoiface,1285,TCP
neoiface,1285,UDP
netuitive,1286,TCP
netuitive,1286,UDP
routematch,1287,TCP
routematch,1287,UDP
navbuddy,1288,TCP
navbuddy,1288,UDP
jwalkserver,1289,TCP
jwalkserver,1289,UDP
winjaserver,1290,TCP
winjaserver,1290,UDP
seagulllms,1291,TCP
seagulllms,1291,UDP
dsdn,1292,TCP
dsdn,1292,UDP
pkt-krb-ipsec,1293,TCP
pkt-krb-ipsec,1293,UDP
cmmdriver,1294,TCP
cmmdriver,1294,UDP
ehtp,1295,TCP
ehtp,1295,UDP
dproxy,1296,TCP
dproxy,1296,UDP
sdproxy,1297,TCP
sdproxy,1297,UDP
lpcp,1298,TCP
lpcp,1298,UDP
hp-sci,1299,TCP
hp-sci,1299,UDP
h323hostcallsc,1300,TCP
h323hostcallsc,1300,UDP
ci3-software-1,1301,TCP
ci3-software-1,1301,UDP
ci3-software-2,1302,TCP
ci3-software-2,1302,UDP
sftsrv,1303,TCP
sftsrv,1303,UDP
boomerang,1304,TCP
boomerang,1304,UDP
pe-mike,1305,TCP
pe-mike,1305,UDP
re-conn-proto,1306,TCP
re-conn-proto,1306,UDP
pacmand,1307,TCP
pacmand,1307,UDP
odsi,1308,TCP
odsi,1308,UDP
jtag-server,1309,TCP
jtag-server,1309,UDP
husky,1310,TCP
husky,1310,UDP
rxmon,1311,TCP
rxmon,1311,UDP
sti-envision,1312,TCP
sti-envision,1312,UDP
bmc-patroldb,1313,TCP
bmc_patroldb,1313,TCP
bmc-patroldb,1313,UDP
bmc_patroldb,1313,UDP
pdps,1314,TCP
pdps,1314,UDP
els,1315,TCP
els,1315,UDP
exbit-escp,1316,TCP
exbit-escp,1316,UDP
vrts-ipcserver,1317,TCP
vrts-ipcserver,1317,UDP
krb5gatekeeper,1318,TCP
krb5gatekeeper,1318,UDP
amx-icsp,1319,TCP
amx-icsp,1319,UDP
amx-axbnet,1320,TCP
amx-axbnet,1320,UDP
pip,1321,TCP
pip,1321,UDP
novation,1322,TCP
novation,1322,UDP
brcd,1323,TCP
brcd,1323,UDP
delta-mcp,1324,TCP
delta-mcp,1324,UDP
dx-instrument,1325,TCP
dx-instrument,1325,UDP
wimsic,1326,TCP
wimsic,1326,UDP
ultrex,1327,TCP
ultrex,1327,UDP
ewall,1328,TCP
ewall,1328,UDP
netdb-export,1329,TCP
netdb-export,1329,UDP
streetperfect,1330,TCP
streetperfect,1330,UDP
intersan,1331,TCP
intersan,1331,UDP
pcia-rxp-b,1332,TCP
pcia-rxp-b,1332,UDP
passwrd-policy,1333,TCP
passwrd-policy,1333,UDP
writesrv,1334,TCP
writesrv,1334,UDP
digital-notary,1335,TCP
digital-notary,1335,UDP
ischat,1336,TCP
ischat,1336,UDP
menandmice-dns,1337,TCP
menandmice-dns,1337,UDP
wmc-log-svc,1338,TCP
wmc-log-svc,1338,UDP
kjtsiteserver,1339,TCP
kjtsiteserver,1339,UDP
naap,1340,TCP
naap,1340,UDP
qubes,1341,TCP
qubes,1341,UDP
esbroker,1342,TCP
esbroker,1342,UDP
re101,1343,TCP
re101,1343,UDP
icap,1344,TCP
icap,1344,UDP
vpjp,1345,TCP
vpjp,1345,UDP
alta-ana-lm,1346,TCP
alta-ana-lm,1346,UDP
bbn-mmc,1347,TCP
bbn-mmc,1347,UDP
bbn-mmx,1348,TCP
bbn-mmx,1348,UDP
sbook,1349,TCP
sbook,1349,UDP
editbench,1350,TCP
editbench,1350,UDP
equationbuilder,1351,TCP
equationbuilder,1351,UDP
lotusnote,1352,TCP
lotusnote,1352,UDP
relief,1353,TCP
relief,1353,UDP
XSIP-network,1354,TCP
XSIP-network,1354,UDP
intuitive-edge,1355,TCP
intuitive-edge,1355,UDP
cuillamartin,1356,TCP
cuillamartin,1356,UDP
pegboard,1357,TCP
pegboard,1357,UDP
connlcli,1358,TCP
connlcli,1358,UDP
ftsrv,1359,TCP
ftsrv,1359,UDP
mimer,1360,TCP
mimer,1360,UDP
linx,1361,TCP
linx,1361,UDP
timeflies,1362,TCP
timeflies,1362,UDP
ndm-requester,1363,TCP
ndm-requester,1363,UDP
ndm-server,1364,TCP
ndm-server,1364,UDP
adapt-sna,1365,TCP
adapt-sna,1365,UDP
netware-csp,1366,TCP
netware-csp,1366,UDP
dcs,1367,TCP
dcs,1367,UDP
screencast,1368,TCP
screencast,1368,UDP
gv-us,1369,TCP
gv-us,1369,UDP
us-gv,1370,TCP
us-gv,1370,UDP
fc-cli,1371,TCP
fc-cli,1371,UDP
fc-ser,1372,TCP
fc-ser,1372,UDP
chromagrafx,1373,TCP
chromagrafx,1373,UDP
molly,1374,TCP
molly,1374,UDP
bytex,1375,TCP
bytex,1375,UDP
ibm-pps,1376,TCP
ibm-pps,1376,UDP
cichlid,1377,TCP
cichlid,1377,UDP
elan,1378,TCP
elan,1378,UDP
dbreporter,1379,TCP
dbreporter,1379,UDP
telesis-licman,1380,TCP
telesis-licman,1380,UDP
apple-licman,1381,TCP
apple-licman,1381,UDP
udt-os,1382,TCP
udt_os,1382,TCP
udt-os,1382,UDP
udt_os,1382,UDP
gwha,1383,TCP
gwha,1383,UDP
os-licman,1384,TCP
os-licman,1384,UDP
atex-elmd,1385,TCP
atex_elmd,1385,TCP
atex-elmd,1385,UDP
atex_elmd,1385,UDP
checksum,1386,TCP
checksum,1386,UDP
cadsi-lm,1387,TCP
cadsi-lm,1387,UDP
objective-dbc,1388,TCP
objective-dbc,1388,UDP
iclpv-dm,1389,TCP
iclpv-dm,1389,UDP
iclpv-sc,1390,TCP
iclpv-sc,1390,UDP
iclpv-sas,1391,TCP
iclpv-sas,1391,UDP
iclpv-pm,1392,TCP
iclpv-pm,1392,UDP
iclpv-nls,1393,TCP
iclpv-nls,1393,UDP
iclpv-nlc,1394,TCP
iclpv-nlc,1394,UDP
iclpv-wsm,1395,TCP
iclpv-wsm,1395,UDP
dvl-activemail,1396,TCP
dvl-activemail,1396,UDP
audio-activmail,1397,TCP
audio-activmail,1397,UDP
video-activmail,1398,TCP
video-activmail,1398,UDP
cadkey-licman,1399,TCP
cadkey-licman,1399,UDP
cadkey-tablet,1400,TCP
cadkey-tablet,1400,UDP
goldleaf-licman,1401,TCP
goldleaf-licman,1401,UDP
prm-sm-np,1402,TCP
prm-sm-np,1402,UDP
prm-nm-np,1403,TCP
prm-nm-np,1403,UDP
igi-lm,1404,TCP
igi-lm,1404,UDP
ibm-res,1405,TCP
ibm-res,1405,UDP
netlabs-lm,1406,TCP
netlabs-lm,1406,UDP
tibet-server,1407,TCP
,1407,UDP
sophia-lm,1408,TCP
sophia-lm,1408,UDP
here-lm,1409,TCP
here-lm,1409,UDP
hiq,1410,TCP
hiq,1410,UDP
af,1411,TCP
af,1411,UDP
innosys,1412,TCP
innosys,1412,UDP
innosys-acl,1413,TCP
innosys-acl,1413,UDP
ibm-mqseries,1414,TCP
ibm-mqseries,1414,UDP
dbstar,1415,TCP
dbstar,1415,UDP
novell-lu6-2,1416,TCP
novell-lu6.2,1416,TCP
novell-lu6-2,1416,UDP
novell-lu6.2,1416,UDP
timbuktu-srv1,1417,TCP
timbuktu-srv1,1417,UDP
timbuktu-srv2,1418,TCP
timbuktu-srv2,1418,UDP
timbuktu-srv3,1419,TCP
timbuktu-srv3,1419,UDP
timbuktu-srv4,1420,TCP
timbuktu-srv4,1420,UDP
gandalf-lm,1421,TCP
gandalf-lm,1421,UDP
autodesk-lm,1422,TCP
autodesk-lm,1422,UDP
essbase,1423,TCP
essbase,1423,UDP
hybrid,1424,TCP
hybrid,1424,UDP
zion-lm,1425,TCP
zion-lm,1425,UDP
sais,1426,TCP
sais,1426,UDP
mloadd,1427,TCP
mloadd,1427,UDP
informatik-lm,1428,TCP
informatik-lm,1428,UDP
nms,1429,TCP
nms,1429,UDP
tpdu,1430,TCP
tpdu,1430,UDP
rgtp,1431,TCP
rgtp,1431,UDP
blueberry-lm,1432,TCP
blueberry-lm,1432,UDP
ms-sql-s,1433,TCP
ms-sql-s,1433,UDP
ms-sql-m,1434,TCP
ms-sql-m,1434,UDP
ibm-cics,1435,TCP
ibm-cics,1435,UDP
saism,1436,TCP
saism,1436,UDP
tabula,1437,TCP
tabula,1437,UDP
eicon-server,1438,TCP
eicon-server,1438,UDP
eicon-x25,1439,TCP
eicon-x25,1439,UDP
eicon-slp,1440,TCP
eicon-slp,1440,UDP
cadis-1,1441,TCP
cadis-1,1441,UDP
cadis-2,1442,TCP
cadis-2,1442,UDP
ies-lm,1443,TCP
ies-lm,1443,UDP
marcam-lm,1444,TCP
marcam-lm,1444,UDP
proxima-lm,1445,TCP
proxima-lm,1445,UDP
ora-lm,1446,TCP
ora-lm,1446,UDP
apri-lm,1447,TCP
apri-lm,1447,UDP
oc-lm,1448,TCP
oc-lm,1448,UDP
peport,1449,TCP
peport,1449,UDP
dwf,1450,TCP
dwf,1450,UDP
infoman,1451,TCP
infoman,1451,UDP
gtegsc-lm,1452,TCP
gtegsc-lm,1452,UDP
genie-lm,1453,TCP
genie-lm,1453,UDP
interhdl-elmd,1454,TCP
interhdl_elmd,1454,TCP
interhdl-elmd,1454,UDP
interhdl_elmd,1454,UDP
esl-lm,1455,TCP
esl-lm,1455,UDP
dca,1456,TCP
dca,1456,UDP
valisys-lm,1457,TCP
valisys-lm,1457,UDP
nrcabq-lm,1458,TCP
nrcabq-lm,1458,UDP
proshare1,1459,TCP
proshare1,1459,UDP
proshare2,1460,TCP
proshare2,1460,UDP
ibm-wrless-lan,1461,TCP
ibm_wrless_lan,1461,TCP
ibm-wrless-lan,1461,UDP
ibm_wrless_lan,1461,UDP
world-lm,1462,TCP
world-lm,1462,UDP
nucleus,1463,TCP
nucleus,1463,UDP
msl-lmd,1464,TCP
msl_lmd,1464,TCP
msl-lmd,1464,UDP
msl_lmd,1464,UDP
pipes,1465,TCP
pipes,1465,UDP
oceansoft-lm,1466,TCP
oceansoft-lm,1466,UDP
csdmbase,1467,TCP
csdmbase,1467,UDP
csdm,1468,TCP
csdm,1468,UDP
aal-lm,1469,TCP
aal-lm,1469,UDP
uaiact,1470,TCP
uaiact,1470,UDP
csdmbase,1471,TCP
csdmbase,1471,UDP
csdm,1472,TCP
csdm,1472,UDP
openmath,1473,TCP
openmath,1473,UDP
telefinder,1474,TCP
telefinder,1474,UDP
taligent-lm,1475,TCP
taligent-lm,1475,UDP
clvm-cfg,1476,TCP
clvm-cfg,1476,UDP
ms-sna-server,1477,TCP
ms-sna-server,1477,UDP
ms-sna-base,1478,TCP
ms-sna-base,1478,UDP
dberegister,1479,TCP
dberegister,1479,UDP
pacerforum,1480,TCP
pacerforum,1480,UDP
airs,1481,TCP
airs,1481,UDP
miteksys-lm,1482,TCP
miteksys-lm,1482,UDP
afs,1483,TCP
afs,1483,UDP
confluent,1484,TCP
confluent,1484,UDP
lansource,1485,TCP
lansource,1485,UDP
nms-topo-serv,1486,TCP
nms_topo_serv,1486,TCP
nms-topo-serv,1486,UDP
nms_topo_serv,1486,UDP
localinfosrvr,1487,TCP
localinfosrvr,1487,UDP
docstor,1488,TCP
docstor,1488,UDP
dmdocbroker,1489,TCP
dmdocbroker,1489,UDP
insitu-conf,1490,TCP
insitu-conf,1490,UDP
stone-design-1,1492,TCP
stone-design-1,1492,UDP
netmap-lm,1493,TCP
netmap_lm,1493,TCP
netmap-lm,1493,UDP
netmap_lm,1493,UDP
ica,1494,TCP
ica,1494,UDP
cvc,1495,TCP
cvc,1495,UDP
liberty-lm,1496,TCP
liberty-lm,1496,UDP
rfx-lm,1497,TCP
rfx-lm,1497,UDP
sybase-sqlany,1498,TCP
sybase-sqlany,1498,UDP
fhc,1499,TCP
fhc,1499,UDP
vlsi-lm,1500,TCP
vlsi-lm,1500,UDP
saiscm,1501,TCP
saiscm,1501,UDP
shivadiscovery,1502,TCP
shivadiscovery,1502,UDP
imtc-mcs,1503,TCP
imtc-mcs,1503,UDP
evb-elm,1504,TCP
evb-elm,1504,UDP
funkproxy,1505,TCP
funkproxy,1505,UDP
utcd,1506,TCP
utcd,1506,UDP
symplex,1507,TCP
symplex,1507,UDP
diagmond,1508,TCP
diagmond,1508,UDP
robcad-lm,1509,TCP
robcad-lm,1509,UDP
mvx-lm,1510,TCP
mvx-lm,1510,UDP
3l-l1,1511,TCP
3l-l1,1511,UDP
wins,1512,TCP
wins,1512,UDP
fujitsu-dtc,1513,TCP
fujitsu-dtc,1513,UDP
fujitsu-dtcns,1514,TCP
fujitsu-dtcns,1514,UDP
ifor-protocol,1515,TCP
ifor-protocol,1515,UDP
vpad,1516,TCP
vpad,1516,UDP
vpac,1517,TCP
vpac,1517,UDP
vpvd,1518,TCP
vpvd,1518,UDP
vpvc,1519,TCP
vpvc,1519,UDP
atm-zip-office,1520,TCP
atm-zip-office,1520,UDP
ncube-lm,1521,TCP
ncube-lm,1521,UDP
ricardo-lm,1522,TCP
ricardo-lm,1522,UDP
cichild-lm,1523,TCP
cichild-lm,1523,UDP
ingreslock,1524,TCP
ingreslock,1524,UDP
orasrv,1525,TCP
orasrv,1525,UDP
prospero-np,1525,TCP
prospero-np,1525,UDP
pdap-np,1526,TCP
pdap-np,1526,UDP
tlisrv,1527,TCP
tlisrv,1527,UDP
coauthor,1529,TCP
coauthor,1529,UDP
rap-service,1530,TCP
rap-service,1530,UDP
rap-listen,1531,TCP
rap-listen,1531,UDP
miroconnect,1532,TCP
miroconnect,1532,UDP
virtual-places,1533,TCP
virtual-places,1533,UDP
micromuse-lm,1534,TCP
micromuse-lm,1534,UDP
ampr-info,1535,TCP
ampr-info,1535,UDP
ampr-inter,1536,TCP
ampr-inter,1536,UDP
sdsc-lm,1537,TCP
sdsc-lm,1537,UDP
3ds-lm,1538,TCP
3ds-lm,1538,UDP
intellistor-lm,1539,TCP
intellistor-lm,1539,UDP
rds,1540,TCP
rds,1540,UDP
rds2,1541,TCP
rds2,1541,UDP
gridgen-elmd,1542,TCP
gridgen-elmd,1542,UDP
simba-cs,1543,TCP
simba-cs,1543,UDP
aspeclmd,1544,TCP
aspeclmd,1544,UDP
vistium-share,1545,TCP
vistium-share,1545,UDP
abbaccuray,1546,TCP
abbaccuray,1546,UDP
laplink,1547,TCP
laplink,1547,UDP
axon-lm,1548,TCP
axon-lm,1548,UDP
